Title,Clients last day,Rating,Voters,Price,Kitchen,Location,Boroughs
Accent,9,4.5,32,2,Mediterranean,Kips Bay,Manhattan
Spritz Nomad,2,4.0,48,2,Italian,NoMad,Manhattan
Rib No. 7,21,4.7,95,3,Korean,NoMad,Manhattan
GAONNURI,72,4.7,3226,4,Korean,Midtown West,Manhattan
Butcher and Banker NYC,23,4.4,861,3,Steakhouse,Midtown West,Manhattan
STK - NYC - Midtown,180,4.1,6013,3,Steakhouse,Midtown West,Manhattan
Dons Bogam BBQ & Wine Bar,79,4.6,433,3,Korean,Midtown East,Manhattan
Docks Oyster Bar and Seafood Grill,NA,4.7,2568,3,Seafood,Murray Hill,Manhattan
AYZA Wine & Chocolate Bar,41,4.7,2945,2,Wine Bar,Midtown West,Manhattan
Antoya (fka Samwon Garden),4,4.5,251,3,Korean,NoMad,Manhattan
The Smith - Nomad,177,4.6,3954,2,American,Gramercy / Flatiron,Manhattan
Benjamin Steakhouse,3,4.7,3737,4,Steakhouse,Midtown East,Manhattan
Cardoncello diVino,28,4.8,392,3,Italian,NoMad,Manhattan
ilili,93,4.7,6661,3,Lebanese,Gramercy / Flatiron,Manhattan
Carmine's - 44th Street - NYC,299,4.6,19442,2,Italian,Theater District / Times Square,Manhattan
Pera Mediterranean Brasserie,6,4.3,2042,3,Mediterranean,Midtown East,Manhattan
Wolfgang's Steak House - Park Avenue,69,4.7,1265,4,Steakhouse,Midtown East,Manhattan
Tony's Di Napoli - Midtown,112,4.7,13474,2,Italian,Theater District / Times Square,Manhattan
The Liberty NYC,33,4.4,539,2,American,Midtown East,Manhattan
Royal 35 Steakhouse,NA,4.7,1259,4,Steakhouse,Murray Hill,Manhattan
Craft,74,4.8,6133,4,American,Gramercy / Flatiron,Manhattan
Sarabeth's Park Avenue South,25,4.6,2346,2,Breakfast,Gramercy / Flatiron,Manhattan
Fine & Rare,NA,4.6,1282,4,American,Murray Hill,Manhattan
Serra by Birreria,23,4.4,4930,3,Italian,Gramercy / Flatiron,Manhattan
Magic Hour Rooftop Bar & Lounge,32,4.1,1239,3,American,Theater District / Times Square,Manhattan
Benjamin Steakhouse Prime,104,4.7,1376,4,Steakhouse,Midtown East,Manhattan
L'Adresse - Bryant Park,NA,4.5,1034,3,Contemporary American,Midtown West,Manhattan
Glass Ceiling Nomad,32,4.2,97,2,Bar / Lounge / Bottle Service,NoMad,Manhattan
Zuma Japanese Restaurant - NY,36,4.7,1335,4,Japanese,Midtown East,Manhattan
The Flatiron Room,44,4.6,1333,3,American,Gramercy / Flatiron,Manhattan
Stella 34 Trattoria,11,4.2,2824,2,Italian,Midtown West,Manhattan
Rocco Steakhouse,23,4.7,821,3,Steakhouse,Gramercy / Flatiron,Manhattan
BLACKBARN Restaurant - NoMad,NA,4.5,1356,3,American,NoMad,Manhattan
Soju Haus,NA,4.6,73,2,Korean,NoMad,Manhattan
Wolfgang's Steakhouse - Broadway  (37th St.),44,4.5,195,3,Steakhouse,Midtown West,Manhattan
Frankie & Johnnie's Steakhouse - Manhattan,NA,4.6,1698,3,Steak,Midtown West,Manhattan
Wokuni,47,4.7,737,3,Japanese,Murray Hill,Manhattan
La Pizza & La Pasta - Eataly NYC Flatiron,31,4.5,1128,2,Italian,Gramercy / Flatiron,Manhattan
Arno Ristorante,NA,4.6,1481,3,Italian,Theater District / Times Square,Manhattan
Sushi Suite 1001,9,4.8,170,4,Sushi,NoMad,Manhattan
Parker & Quinn,5,4.5,1326,2,American,Midtown West,Manhattan
L’Adresse NoMad,11,4.6,35,3,American,NoMad,Manhattan
Le Parisien,NA,4.7,1737,2,French,Murray Hill,Manhattan
Hawksmoor NYC,48,4.6,201,4,American,Gramercy / Flatiron,Manhattan
The Clocktower,54,4.6,1466,4,English,Gramercy / Flatiron,Manhattan
Nick & Stef’s Steakhouse - New York,NA,4.6,2460,3,Steakhouse,Midtown West,Manhattan
Barbounia,NA,4.6,3278,2,Mediterranean,Gramercy / Flatiron,Manhattan
Rossini's Restaurant,NA,4.8,1733,3,Italian,Murray Hill,Manhattan
Grand Central Oyster Bar,NA,4.2,6416,3,Seafood,Midtown East,Manhattan
Bazar Tapas Bar and Restaurant,20,4.6,336,2,Tapas / Small Plates,NoMad,Manhattan
Trademark,NA,4.5,400,2,Unspecified,Midtown West,Manhattan
Toledo Restaurant,8,4.8,174,4,Spanish,Murray Hill,Manhattan
Burger & Lobster - Bryant Park,24,4.2,292,3,Seafood,Midtown East,Manhattan
The Little Beet Table,9,4.7,1747,3,American,Gramercy / Flatiron,Manhattan
Almond,34,4.6,2678,3,Farm-to-table,Gramercy / Flatiron,Manhattan
Tipsy NoMad,118,NA,NA,2,American,NoMad,Manhattan
The Keg Room,NA,4.6,48,2,American,Midtown West,Manhattan
Kellari Taverna,46,4.4,6128,3,Greek,Theater District / Times Square,Manhattan
