Title,Rating TripAvisdor,Voters TripAvisdor
LandShark Bar & Grill - Times Square,5.0,4
 Au Za'atar,4.5,282
 Club A Steakhouse,4.5,4176
 Piccola Cucina Estiatorio,4.5,216
 Boucherie Union Square,4.5,1064
 Mei Jin Ramen,4.5,175
Quality Bistro,4.5,30
 Piccola Cucina Osteria,4.5,2579
 Bleecker Street Pizza,4.5,1543
 Boucherie West Village,4.5,1122
 Loi Estiatorio,4.5,589
 Spice Symphony,4.5,2689
East Village Pizza,4.5,42
 SottoCasa Pizzeria,5.0,414
 Olio e Piu,4.5,2519
 Los Tacos No. 1,4.5,586
 K Rico Steakhouse,4.5,3411
 Bua Thai Ramen & Robata Grill,4.5,295
Maison Bangkok,3.5,6
 La Grande Boucherie,4.5,248
 Jungsik,4.5,275
 San Carlo Osteria Piemonte,4.5,712
 Spice Symphony,4.5,208
 Pure Thai Cookhouse,4.5,1478
 Bagels & Schmear,4.5,236
 Petite Boucherie,4.5,543
 Kuu Ramen,4.5,190
 Scalini Fedeli,4.5,436
 Obao Noodles & Bbq,4.5,393
ICHIRAN Times Square,4.5,59
 The Bar Room at The Modern,4.5,2093
 City Vineyard,4.5,406
 Daniel,4.5,3319
 Norma,4.5,236
 Song E Napule,4.5,382
Quality Italian,4.0,833
Margaritaville Restaurant- Times Square,3.5,12
 Numero 28 Pizzeria,4.5,1111
 Beyond Sushi,4.5,221
 Ora Di Pasta,4.5,237
 Bemelmans Bar,4.5,487
 Patsy's Italian Restaurant,4.5,4930
LandShark Bar & Grill - Times Square,5.0,4
 Royal 35 Steakhouse,4.5,544
 Gallaghers Steak House,4.5,5337
 B Side Pizzeria,4.5,510
 Tomino - Taberna Gallega,4.5,216
 Il Punto,4.5,1521
Piccola Cucina Osteria,4.5,2579
 Per Se,4.5,1840
 Obao,4.5,1148
 Thai Villa,4.5,182
 Eileen's Special Cheesecake,4.5,2078
 Buenos Aires,4.5,443
5 o'Clock Somewhere Bar,4.0,4
 Izakaya MEW,4.5,1063
 Le Bernardin,4.5,3481
 NY Pizza Suprema,4.5,1291
 Craft,4.5,986
 Johny's Luncheonette,4.5,404
Quality Bistro,4.5,30
 Ocean Prime,4.5,672
 Cull & Pistol,4.5,973
 L'Artusi,4.5,519
 Megan’s Bar & Kitchen,4.5,215
 Jacob Restaurant Soul Food & Salad Bar,4.5,189
Quality Italian,4.0,833
 Nerai,4.5,669
 The Musket Room,4.5,317
 Manhatta,4.5,324
 El Centro,4.5,856
 Rubirosa,4.5,1275
ICHIRAN Times Square,4.5,59
Piccola Cucina Osteria,4.5,2579
 Hummus Place Upper West Side,4.5,334
 Patzeria Family & Friends,4.5,3625
 Blue Ribbon Sushi,4.5,1030
 Flex Mussels,4.5,252
 Momofuku Ko,4.5,411
Margaritaville Restaurant- Times Square,3.5,12
 Amelie,4.5,445
 Via Della Pace,4.5,970
 Rafele,4.5,1239
 Dinosaur Bar-B-Que,4.5,1209
 San Matteo Pizza Espresso Bar,4.5,375
Quality Meats,4.5,2378
 IPPUDO WESTSIDE (Midtown),4.5,1302
 Her Name Is Han,4.5,286
 Gabriel Kreuther,4.5,736
 Momoya Chelsea,4.5,248
 Russ & Daughters Cafe,4.5,678
5 o'Clock Somewhere Bar,4.0,4
 John's Coffee Shop,4.5,223
 Feinstein's/54 Below,4.5,363
 IL Melograno,4.5,321
 Keste Pizza & Vino,4.5,1055
 Gramercy Tavern,4.5,3700
LandShark Bar & Grill - Times Square,5.0,4
 Tony's Di Napoli - Midtown,4.5,6337
 Momosan Ramen & Sake,4.5,581
 Indian Accent,4.5,552
 Pylos,4.5,402
 Little Owl,4.5,1248
Quality Bistro,4.5,30
 The Capital Grille,4.5,942
 Il Corso,4.5,977
 Up Thai,4.5,360
 Blue Ribbon Brasserie,4.5,381
 Whiskey Tavern,4.5,175
Maison Bangkok,3.5,6
Quality Meats,4.5,2378
 BG - Bergdorf Goodman,4.5,514
 Jacob's Pickles,4.5,965
 Russ & Daughters,4.5,1156
 Basso56,4.5,2251
 Keens Steakhouse,4.5,6663
Quality Bistro,4.5,30
 Dirt Candy,4.5,358
 Bengal Tiger Indian Food,4.5,529
 Black Iron Burger,4.5,913
 Sea Fire Grill,4.5,1105
 Pearl Oyster Bar,4.5,530
5 o'Clock Somewhere Bar,4.0,4
 Hatsuhana Sushi Restaurant,4.5,413
 Da Andrea Ristorante,4.5,341
 Aurora SoHo,4.5,390
 Bareburger - Hell's Kitchen,4.5,1488
 Baz Bagel and Restaurant,4.5,288
LandShark Bar & Grill - Times Square,5.0,4
 Flex Mussels,4.5,342
 Emporio,4.5,572
 Hangawi,4.5,633
 Market Table,4.5,454
 by CHLOE. - West Village,4.5,398
Piccola Cucina Osteria,4.5,2579
 Barn Joo 35,4.5,235
 Taim West Village,4.5,264
 Mermaid Oyster Bar,4.5,271
 Saigon Shack,4.5,273
 Tanner Smith's,4.5,454
Quality Italian,4.0,833
 La Lanterna di Vittorio,4.5,368
 Orso,4.5,472
